pair,base,quote,status,last_updated
BTTPAX,BTT,PAX,BREAK,2025-09-16 14:48:48
BTTTUSD,BTT,TUSD,BREAK,2025-09-16 14:48:48
BTTUSDC,BTT,USDC,BREAK,2025-09-16 14:48:48
ONGBNB,ONG,BNB,BREAK,2025-09-16 14:48:48
HOTBNB,HOT,BNB,BREAK,2025-09-16 14:48:48
ZRXBNB,ZRX,BNB,BREAK,2025-09-16 14:48:48
XMRBNB,XMR,BNB,BREAK,2025-09-16 14:48:48
XMRUSDT,XMR,USDT,BREAK,2025-09-16 14:48:48
ZECBNB,ZEC,BNB,BREAK,2025-09-16 14:48:48
ZECPAX,ZEC,PAX,BREAK,2025-09-16 14:48:48
ZECTUSD,ZEC,TUSD,BREAK,2025-09-16 14:48:48
ZECUSDC,ZEC,USDC,BREAK,2025-09-16 14:48:48
CELRBNB,CELR,BNB,BREAK,2025-09-16 14:48:48
CELRBTC,CELR,BTC,BREAK,2025-09-16 14:48:48
ADAPAX,ADA,PAX,BREAK,2025-09-16 14:48:48
NEOPAX,NEO,PAX,BREAK,2025-09-16 14:48:48
DASHBNB,DASH,BNB,BREAK,2025-09-16 14:48:48
NANOUSDT,NANO,USDT,BREAK,2025-09-16 14:48:48
OMGBNB,OMG,BNB,BREAK,2025-09-16 14:48:48
OMGUSDT,OMG,USDT,BREAK,2025-09-16 14:48:48
MITHUSDT,MITH,USDT,BREAK,2025-09-16 14:48:48
MATICBNB,MATIC,BNB,BREAK,2025-09-16 14:48:48
MATICBTC,MATIC,BTC,BREAK,2025-09-16 14:48:48
MATICUSDT,MATIC,USDT,BREAK,2025-09-16 14:48:48
ATOMBNB,ATOM,BNB,BREAK,2025-09-16 14:48:48
ATOMPAX,ATOM,PAX,BREAK,2025-09-16 14:48:48
ATOMTUSD,ATOM,TUSD,BREAK,2025-09-16 14:48:48
ETCPAX,ETC,PAX,BREAK,2025-09-16 14:48:48
ETCTUSD,ETC,TUSD,BREAK,2025-09-16 14:48:48
BATUSDC,BAT,USDC,BREAK,2025-09-16 14:48:48
BATPAX,BAT,PAX,BREAK,2025-09-16 14:48:48
BATTUSD,BAT,TUSD,BREAK,2025-09-16 14:48:48
PHBBNB,PHB,BNB,BREAK,2025-09-16 14:48:48
PHBUSDC,PHB,USDC,BREAK,2025-09-16 14:48:48
PHBTUSD,PHB,TUSD,BREAK,2025-09-16 14:48:48
PHBPAX,PHB,PAX,BREAK,2025-09-16 14:48:48
TFUELBNB,TFUEL,BNB,BREAK,2025-09-16 14:48:48
TFUELUSDC,TFUEL,USDC,BREAK,2025-09-16 14:48:48
TFUELTUSD,TFUEL,TUSD,BREAK,2025-09-16 14:48:48
TFUELPAX,TFUEL,PAX,BREAK,2025-09-16 14:48:48
ONEBNB,ONE,BNB,BREAK,2025-09-16 14:48:48
ONEBTC,ONE,BTC,BREAK,2025-09-16 14:48:48
ONETUSD,ONE,TUSD,BREAK,2025-09-16 14:48:48
ONEPAX,ONE,PAX,BREAK,2025-09-16 14:48:48
ONEUSDC,ONE,USDC,BREAK,2025-09-16 14:48:48
FTMBNB,FTM,BNB,BREAK,2025-09-16 14:48:48
FTMBTC,FTM,BTC,BREAK,2025-09-16 14:48:48
FTMUSDT,FTM,USDT,BREAK,2025-09-16 14:48:48
FTMTUSD,FTM,TUSD,BREAK,2025-09-16 14:48:48
FTMPAX,FTM,PAX,BREAK,2025-09-16 14:48:48
FTMUSDC,FTM,USDC,BREAK,2025-09-16 14:48:48
BTCBBTC,BTCB,BTC,BREAK,2025-09-16 14:48:48
BCPTTUSD,BCPT,TUSD,BREAK,2025-09-16 14:48:48
BCPTPAX,BCPT,PAX,BREAK,2025-09-16 14:48:48
BCPTUSDC,BCPT,USDC,BREAK,2025-09-16 14:48:48
ALGOBNB,ALGO,BNB,BREAK,2025-09-16 14:48:48
ALGOTUSD,ALGO,TUSD,BREAK,2025-09-16 14:48:48
ALGOPAX,ALGO,PAX,BREAK,2025-09-16 14:48:48
USDSBUSDT,USDSB,USDT,BREAK,2025-09-16 14:48:48
USDSBUSDS,USDSB,USDS,BREAK,2025-09-16 14:48:48
GTOUSDT,GTO,USDT,BREAK,2025-09-16 14:48:48
GTOPAX,GTO,PAX,BREAK,2025-09-16 14:48:48
GTOTUSD,GTO,TUSD,BREAK,2025-09-16 14:48:48
GTOUSDC,GTO,USDC,BREAK,2025-09-16 14:48:48
ERDBNB,ERD,BNB,BREAK,2025-09-16 14:48:48
ERDBTC,ERD,BTC,BREAK,2025-09-16 14:48:48
ERDUSDT,ERD,USDT,BREAK,2025-09-16 14:48:48
ERDPAX,ERD,PAX,BREAK,2025-09-16 14:48:48
ERDUSDC,ERD,USDC,BREAK,2025-09-16 14:48:48
DOGEBNB,DOGE,BNB,BREAK,2025-09-16 14:48:48
DOGEPAX,DOGE,PAX,BREAK,2025-09-16 14:48:48
DUSKBNB,DUSK,BNB,BREAK,2025-09-16 14:48:48
DUSKUSDC,DUSK,USDC,BREAK,2025-09-16 14:48:48
DUSKPAX,DUSK,PAX,BREAK,2025-09-16 14:48:48
BGBPUSDC,BGBP,USDC,BREAK,2025-09-16 14:48:48
ANKRBNB,ANKR,BNB,BREAK,2025-09-16 14:48:48
ANKRTUSD,ANKR,TUSD,BREAK,2025-09-16 14:48:48
ANKRPAX,ANKR,PAX,BREAK,2025-09-16 14:48:48
ANKRUSDC,ANKR,USDC,BREAK,2025-09-16 14:48:48
ONTPAX,ONT,PAX,BREAK,2025-09-16 14:48:48
WINBNB,WIN,BNB,BREAK,2025-09-16 14:48:48
WINBTC,WIN,BTC,BREAK,2025-09-16 14:48:48
WINUSDC,WIN,USDC,BREAK,2025-09-16 14:48:48
COSBNB,COS,BNB,BREAK,2025-09-16 14:48:48
COSBTC,COS,BTC,BREAK,2025-09-16 14:48:48
TUSDBTUSD,TUSDB,TUSD,BREAK,2025-09-16 14:48:48
NPXSUSDT,NPXS,USDT,BREAK,2025-09-16 14:48:48
NPXSUSDC,NPXS,USDC,BREAK,2025-09-16 14:48:48
COCOSBNB,COCOS,BNB,BREAK,2025-09-16 14:48:48
COCOSBTC,COCOS,BTC,BREAK,2025-09-16 14:48:48
COCOSUSDT,COCOS,USDT,BREAK,2025-09-16 14:48:48
TOMOBNB,TOMO,BNB,BREAK,2025-09-16 14:48:48
TOMOBTC,TOMO,BTC,BREAK,2025-09-16 14:48:48
TOMOUSDT,TOMO,USDT,BREAK,2025-09-16 14:48:48
TOMOUSDC,TOMO,USDC,BREAK,2025-09-16 14:48:48
PERLBNB,PERL,BNB,BREAK,2025-09-16 14:48:48
PERLBTC,PERL,BTC,BREAK,2025-09-16 14:48:48
PERLUSDC,PERL,USDC,BREAK,2025-09-16 14:48:48
PERLUSDT,PERL,USDT,BREAK,2025-09-16 14:48:48
MFTUSDT,MFT,USDT,BREAK,2025-09-16 14:48:48
KEYUSDT,KEY,USDT,BREAK,2025-09-16 14:48:48
STORMUSDT,STORM,USDT,BREAK,2025-09-16 14:48:48
DOCKUSDT,DOCK,USDT,BREAK,2025-09-16 14:48:48
BTTTRX,BTT,TRX,BREAK,2025-09-16 14:48:48
BANDBNB,BAND,BNB,BREAK,2025-09-16 14:48:48
BNBBUSD,BNB,BUSD,BREAK,2025-09-16 14:48:48
BTCBUSD,BTC,BUSD,BREAK,2025-09-16 14:48:48
BUSDUSDT,BUSD,USDT,BREAK,2025-09-16 14:48:48
BEAMBNB,BEAM,BNB,BREAK,2025-09-16 14:48:48
BEAMBTC,BEAM,BTC,BREAK,2025-09-16 14:48:48
BEAMUSDT,BEAM,USDT,BREAK,2025-09-16 14:48:48
XTZBNB,XTZ,BNB,BREAK,2025-09-16 14:48:48
RENUSDT,REN,USDT,BREAK,2025-09-16 14:48:48
HCUSDT,HC,USDT,BREAK,2025-09-16 14:48:48
NKNBNB,NKN,BNB,BREAK,2025-09-16 14:48:48
NKNBTC,NKN,BTC,BREAK,2025-09-16 14:48:48
XRPBUSD,XRP,BUSD,BREAK,2025-09-16 14:48:48
ETHBUSD,ETH,BUSD,BREAK,2025-09-16 14:48:48
BCHABCBUSD,BCHABC,BUSD,BREAK,2025-09-16 14:48:48
LTCBUSD,LTC,BUSD,BREAK,2025-09-16 14:48:48
LINKBUSD,LINK,BUSD,BREAK,2025-09-16 14:48:48
ETCBUSD,ETC,BUSD,BREAK,2025-09-16 14:48:48
STXBNB,STX,BNB,BREAK,2025-09-16 14:48:48
KAVABNB,KAVA,BNB,BREAK,2025-09-16 14:48:48
BUSDNGN,BUSD,NGN,BREAK,2025-09-16 14:48:48
BNBNGN,BNB,NGN,BREAK,2025-09-16 14:48:48
BTCNGN,BTC,NGN,BREAK,2025-09-16 14:48:48
ARPABNB,ARPA,BNB,BREAK,2025-09-16 14:48:48
TRXBUSD,TRX,BUSD,BREAK,2025-09-16 14:48:48
EOSBUSD,EOS,BUSD,BREAK,2025-09-16 14:48:48
MCOUSDT,MCO,USDT,BREAK,2025-09-16 14:48:48
XLMBUSD,XLM,BUSD,BREAK,2025-09-16 14:48:48
ADABUSD,ADA,BUSD,BREAK,2025-09-16 14:48:48
CTXCBNB,CTXC,BNB,BREAK,2025-09-16 14:48:48
CTXCBTC,CTXC,BTC,BREAK,2025-09-16 14:48:48
CTXCUSDT,CTXC,USDT,BREAK,2025-09-16 14:48:48
BCHTUSD,BCH,TUSD,BREAK,2025-09-16 14:48:48
BCHPAX,BCH,PAX,BREAK,2025-09-16 14:48:48
BCHBUSD,BCH,BUSD,BREAK,2025-09-16 14:48:48
BTCRUB,BTC,RUB,BREAK,2025-09-16 14:48:48
ETHRUB,ETH,RUB,BREAK,2025-09-16 14:48:48
XRPRUB,XRP,RUB,BREAK,2025-09-16 14:48:48
BNBRUB,BNB,RUB,BREAK,2025-09-16 14:48:48
TROYBNB,TROY,BNB,BREAK,2025-09-16 14:48:48
TROYBTC,TROY,BTC,BREAK,2025-09-16 14:48:48
TROYUSDT,TROY,USDT,BREAK,2025-09-16 14:48:48
BUSDRUB,BUSD,RUB,BREAK,2025-09-16 14:48:48
QTUMBUSD,QTUM,BUSD,BREAK,2025-09-16 14:48:48
VETBUSD,VET,BUSD,BREAK,2025-09-16 14:48:48
VITEBNB,VITE,BNB,BREAK,2025-09-16 14:48:48
VITEBTC,VITE,BTC,BREAK,2025-09-16 14:48:48
VITEUSDT,VITE,USDT,BREAK,2025-09-16 14:48:48
FTTBNB,FTT,BNB,BREAK,2025-09-16 14:48:48
FTTBTC,FTT,BTC,BREAK,2025-09-16 14:48:48
BUSDTRY,BUSD,TRY,BREAK,2025-09-16 14:48:48
USDTRUB,USDT,RUB,BREAK,2025-09-16 14:48:48
EURBUSD,EUR,BUSD,BREAK,2025-09-16 14:48:48
OGNBNB,OGN,BNB,BREAK,2025-09-16 14:48:48
DREPBNB,DREP,BNB,BREAK,2025-09-16 14:48:48
DREPBTC,DREP,BTC,BREAK,2025-09-16 14:48:48
DREPUSDT,DREP,USDT,BREAK,2025-09-16 14:48:48
BULLUSDT,BULL,USDT,BREAK,2025-09-16 14:48:48
BULLBUSD,BULL,BUSD,BREAK,2025-09-16 14:48:48
BEARUSDT,BEAR,USDT,BREAK,2025-09-16 14:48:48
BEARBUSD,BEAR,BUSD,BREAK,2025-09-16 14:48:48
ETHBULLUSDT,ETHBULL,USDT,BREAK,2025-09-16 14:48:48
ETHBULLBUSD,ETHBULL,BUSD,BREAK,2025-09-16 14:48:48
ETHBEARUSDT,ETHBEAR,USDT,BREAK,2025-09-16 14:48:48
ETHBEARBUSD,ETHBEAR,BUSD,BREAK,2025-09-16 14:48:48
TCTBNB,TCT,BNB,BREAK,2025-09-16 14:48:48
TCTBTC,TCT,BTC,BREAK,2025-09-16 14:48:48
TCTUSDT,TCT,USDT,BREAK,2025-09-16 14:48:48
WRXBNB,WRX,BNB,BREAK,2025-09-16 14:48:48
WRXBTC,WRX,BTC,BREAK,2025-09-16 14:48:48
WRXUSDT,WRX,USDT,BREAK,2025-09-16 14:48:48
ICXBUSD,ICX,BUSD,BREAK,2025-09-16 14:48:48
BTSUSDT,BTS,USDT,BREAK,2025-09-16 14:48:48
BTSBUSD,BTS,BUSD,BREAK,2025-09-16 14:48:48
BNTBUSD,BNT,BUSD,BREAK,2025-09-16 14:48:48
LTOBNB,LTO,BNB,BREAK,2025-09-16 14:48:48
LTOBTC,LTO,BTC,BREAK,2025-09-16 14:48:48
LTOUSDT,LTO,USDT,BREAK,2025-09-16 14:48:48
ATOMBUSD,ATOM,BUSD,BREAK,2025-09-16 14:48:48
DASHBUSD,DASH,BUSD,BREAK,2025-09-16 14:48:48
NEOBUSD,NEO,BUSD,BREAK,2025-09-16 14:48:48
WAVESBUSD,WAVES,BUSD,BREAK,2025-09-16 14:48:48
XTZBUSD,XTZ,BUSD,BREAK,2025-09-16 14:48:48
EOSBULLUSDT,EOSBULL,USDT,BREAK,2025-09-16 14:48:48
EOSBULLBUSD,EOSBULL,BUSD,BREAK,2025-09-16 14:48:48
EOSBEARUSDT,EOSBEAR,USDT,BREAK,2025-09-16 14:48:48
EOSBEARBUSD,EOSBEAR,BUSD,BREAK,2025-09-16 14:48:48
XRPBULLUSDT,XRPBULL,USDT,BREAK,2025-09-16 14:48:48
XRPBULLBUSD,XRPBULL,BUSD,BREAK,2025-09-16 14:48:48
XRPBEARUSDT,XRPBEAR,USDT,BREAK,2025-09-16 14:48:48
XRPBEARBUSD,XRPBEAR,BUSD,BREAK,2025-09-16 14:48:48
BATBUSD,BAT,BUSD,BREAK,2025-09-16 14:48:48
ENJBUSD,ENJ,BUSD,BREAK,2025-09-16 14:48:48
NANOBUSD,NANO,BUSD,BREAK,2025-09-16 14:48:48
ONTBUSD,ONT,BUSD,BREAK,2025-09-16 14:48:48
RVNBUSD,RVN,BUSD,BREAK,2025-09-16 14:48:48
STRATBUSD,STRAT,BUSD,BREAK,2025-09-16 14:48:48
STRATBNB,STRAT,BNB,BREAK,2025-09-16 14:48:48
STRATUSDT,STRAT,USDT,BREAK,2025-09-16 14:48:48
AIONBUSD,AION,BUSD,BREAK,2025-09-16 14:48:48
AIONUSDT,AION,USDT,BREAK,2025-09-16 14:48:48
MBLBNB,MBL,BNB,BREAK,2025-09-16 14:48:48
MBLBTC,MBL,BTC,BREAK,2025-09-16 14:48:48
COTIBNB,COTI,BNB,BREAK,2025-09-16 14:48:48
ALGOBUSD,ALGO,BUSD,BREAK,2025-09-16 14:48:48
BTTBUSD,BTT,BUSD,BREAK,2025-09-16 14:48:48
TOMOBUSD,TOMO,BUSD,BREAK,2025-09-16 14:48:48
XMRBUSD,XMR,BUSD,BREAK,2025-09-16 14:48:48
ZECBUSD,ZEC,BUSD,BREAK,2025-09-16 14:48:48
BNBBULLUSDT,BNBBULL,USDT,BREAK,2025-09-16 14:48:48
BNBBULLBUSD,BNBBULL,BUSD,BREAK,2025-09-16 14:48:48
BNBBEARUSDT,BNBBEAR,USDT,BREAK,2025-09-16 14:48:48
BNBBEARBUSD,BNBBEAR,BUSD,BREAK,2025-09-16 14:48:48
STPTBNB,STPT,BNB,BREAK,2025-09-16 14:48:48
STPTBTC,STPT,BTC,BREAK,2025-09-16 14:48:48
STPTUSDT,STPT,USDT,BREAK,2025-09-16 14:48:48
BNBZAR,BNB,ZAR,BREAK,2025-09-16 14:48:48
BUSDZAR,BUSD,ZAR,BREAK,2025-09-16 14:48:48
BTCBKRW,BTC,BKRW,BREAK,2025-09-16 14:48:48
ETHBKRW,ETH,BKRW,BREAK,2025-09-16 14:48:48
BNBBKRW,BNB,BKRW,BREAK,2025-09-16 14:48:48
WTCUSDT,WTC,USDT,BREAK,2025-09-16 14:48:48
DATABUSD,DATA,BUSD,BREAK,2025-09-16 14:48:48
XZCUSDT,XZC,USDT,BREAK,2025-09-16 14:48:48
SOLBUSD,SOL,BUSD,BREAK,2025-09-16 14:48:48
BTCIDRT,BTC,IDRT,BREAK,2025-09-16 14:48:48
BNBIDRT,BNB,IDRT,BREAK,2025-09-16 14:48:48
USDTIDRT,USDT,IDRT,BREAK,2025-09-16 14:48:48
BUSDIDRT,BUSD,IDRT,BREAK,2025-09-16 14:48:48
CTSIBNB,CTSI,BNB,BREAK,2025-09-16 14:48:48
CTSIBUSD,CTSI,BUSD,BREAK,2025-09-16 14:48:48
HIVEBNB,HIVE,BNB,BREAK,2025-09-16 14:48:48
CHRBNB,CHR,BNB,BREAK,2025-09-16 14:48:48
BTCUPUSDT,BTCUP,USDT,BREAK,2025-09-16 14:48:48
BTCDOWNUSDT,BTCDOWN,USDT,BREAK,2025-09-16 14:48:48
GXSUSDT,GXS,USDT,BREAK,2025-09-16 14:48:48
ERDBUSD,ERD,BUSD,BREAK,2025-09-16 14:48:48
LENDUSDT,LEND,USDT,BREAK,2025-09-16 14:48:48
HBARBUSD,HBAR,BUSD,BREAK,2025-09-16 14:48:48
MATICBUSD,MATIC,BUSD,BREAK,2025-09-16 14:48:48
WRXBUSD,WRX,BUSD,BREAK,2025-09-16 14:48:48
ZILBUSD,ZIL,BUSD,BREAK,2025-09-16 14:48:48
MDTBNB,MDT,BNB,BREAK,2025-09-16 14:48:48
MDTBTC,MDT,BTC,BREAK,2025-09-16 14:48:48
STMXBTC,STMX,BTC,BREAK,2025-09-16 14:48:48
STMXETH,STMX,ETH,BREAK,2025-09-16 14:48:48
STMXUSDT,STMX,USDT,BREAK,2025-09-16 14:48:48
KNCBUSD,KNC,BUSD,BREAK,2025-09-16 14:48:48
REPBUSD,REP,BUSD,BREAK,2025-09-16 14:48:48
REPUSDT,REP,USDT,BREAK,2025-09-16 14:48:48
LRCBUSD,LRC,BUSD,BREAK,2025-09-16 14:48:48
IQBNB,IQ,BNB,BREAK,2025-09-16 14:48:48
IQBUSD,IQ,BUSD,BREAK,2025-09-16 14:48:48
PNTBTC,PNT,BTC,BREAK,2025-09-16 14:48:48
PNTUSDT,PNT,USDT,BREAK,2025-09-16 14:48:48
BTCGBP,BTC,GBP,BREAK,2025-09-16 14:48:48
ETHGBP,ETH,GBP,BREAK,2025-09-16 14:48:48
XRPGBP,XRP,GBP,BREAK,2025-09-16 14:48:48
BNBGBP,BNB,GBP,BREAK,2025-09-16 14:48:48
GBPBUSD,GBP,BUSD,BREAK,2025-09-16 14:48:48
DGBBTC,DGB,BTC,BREAK,2025-09-16 14:48:48
DGBBUSD,DGB,BUSD,BREAK,2025-09-16 14:48:48
COMPBNB,COMP,BNB,BREAK,2025-09-16 14:48:48
COMPBUSD,COMP,BUSD,BREAK,2025-09-16 14:48:48
BTCBIDR,BTC,BIDR,BREAK,2025-09-16 14:48:48
ETHBIDR,ETH,BIDR,BREAK,2025-09-16 14:48:48
BNBBIDR,BNB,BIDR,BREAK,2025-09-16 14:48:48
BUSDBIDR,BUSD,BIDR,BREAK,2025-09-16 14:48:48
USDTBIDR,USDT,BIDR,BREAK,2025-09-16 14:48:48
BKRWUSDT,BKRW,USDT,BREAK,2025-09-16 14:48:48
BKRWBUSD,BKRW,BUSD,BREAK,2025-09-16 14:48:48
SXPBNB,SXP,BNB,BREAK,2025-09-16 14:48:48
SXPBUSD,SXP,BUSD,BREAK,2025-09-16 14:48:48
SNXBNB,SNX,BNB,BREAK,2025-09-16 14:48:48
SNXBUSD,SNX,BUSD,BREAK,2025-09-16 14:48:48
ETHUPUSDT,ETHUP,USDT,BREAK,2025-09-16 14:48:48
ETHDOWNUSDT,ETHDOWN,USDT,BREAK,2025-09-16 14:48:48
ADAUPUSDT,ADAUP,USDT,BREAK,2025-09-16 14:48:48
ADADOWNUSDT,ADADOWN,USDT,BREAK,2025-09-16 14:48:48
LINKUPUSDT,LINKUP,USDT,BREAK,2025-09-16 14:48:48
LINKDOWNUSDT,LINKDOWN,USDT,BREAK,2025-09-16 14:48:48
VTHOBNB,VTHO,BNB,BREAK,2025-09-16 14:48:48
VTHOBUSD,VTHO,BUSD,BREAK,2025-09-16 14:48:48
DCRBUSD,DCR,BUSD,BREAK,2025-09-16 14:48:48
GBPUSDT,GBP,USDT,BREAK,2025-09-16 14:48:48
STORJBUSD,STORJ,BUSD,BREAK,2025-09-16 14:48:48
IRISBNB,IRIS,BNB,BREAK,2025-09-16 14:48:48
IRISBTC,IRIS,BTC,BREAK,2025-09-16 14:48:48
IRISBUSD,IRIS,BUSD,BREAK,2025-09-16 14:48:48
MKRBNB,MKR,BNB,BREAK,2025-09-16 14:48:48
MKRBTC,MKR,BTC,BREAK,2025-09-16 14:48:48
MKRUSDT,MKR,USDT,BREAK,2025-09-16 14:48:48
MKRBUSD,MKR,BUSD,BREAK,2025-09-16 14:48:48
DAIBNB,DAI,BNB,BREAK,2025-09-16 14:48:48
DAIBTC,DAI,BTC,BREAK,2025-09-16 14:48:48
DAIUSDT,DAI,USDT,BREAK,2025-09-16 14:48:48
DAIBUSD,DAI,BUSD,BREAK,2025-09-16 14:48:48
RUNEBNB,RUNE,BNB,BREAK,2025-09-16 14:48:48
RUNEBUSD,RUNE,BUSD,BREAK,2025-09-16 14:48:48
MANABUSD,MANA,BUSD,BREAK,2025-09-16 14:48:48
DOGEBUSD,DOGE,BUSD,BREAK,2025-09-16 14:48:48
LENDBUSD,LEND,BUSD,BREAK,2025-09-16 14:48:48
ZRXBUSD,ZRX,BUSD,BREAK,2025-09-16 14:48:48
XRPBKRW,XRP,BKRW,BREAK,2025-09-16 14:48:48
ADABKRW,ADA,BKRW,BREAK,2025-09-16 14:48:48
BTCAUD,BTC,AUD,BREAK,2025-09-16 14:48:48
ETHAUD,ETH,AUD,BREAK,2025-09-16 14:48:48
AUDBUSD,AUD,BUSD,BREAK,2025-09-16 14:48:48
FIOBNB,FIO,BNB,BREAK,2025-09-16 14:48:48
FIOBTC,FIO,BTC,BREAK,2025-09-16 14:48:48
FIOBUSD,FIO,BUSD,BREAK,2025-09-16 14:48:48
BNBUPUSDT,BNBUP,USDT,BREAK,2025-09-16 14:48:48
BNBDOWNUSDT,BNBDOWN,USDT,BREAK,2025-09-16 14:48:48
XTZUPUSDT,XTZUP,USDT,BREAK,2025-09-16 14:48:48
XTZDOWNUSDT,XTZDOWN,USDT,BREAK,2025-09-16 14:48:48
AVABNB,AVA,BNB,BREAK,2025-09-16 14:48:48
AVABUSD,AVA,BUSD,BREAK,2025-09-16 14:48:48
USDTBKRW,USDT,BKRW,BREAK,2025-09-16 14:48:48
BUSDBKRW,BUSD,BKRW,BREAK,2025-09-16 14:48:48
IOTABUSD,IOTA,BUSD,BREAK,2025-09-16 14:48:48
XRPAUD,XRP,AUD,BREAK,2025-09-16 14:48:48
BNBAUD,BNB,AUD,BREAK,2025-09-16 14:48:48
AUDUSDT,AUD,USDT,BREAK,2025-09-16 14:48:48
BALBNB,BAL,BNB,BREAK,2025-09-16 14:48:48
BALBTC,BAL,BTC,BREAK,2025-09-16 14:48:48
BALBUSD,BAL,BUSD,BREAK,2025-09-16 14:48:48
YFIBNB,YFI,BNB,BREAK,2025-09-16 14:48:48
YFIBUSD,YFI,BUSD,BREAK,2025-09-16 14:48:48
BLZBUSD,BLZ,BUSD,BREAK,2025-09-16 14:48:48
KMDBUSD,KMD,BUSD,BREAK,2025-09-16 14:48:48
BALUSDT,BAL,USDT,BREAK,2025-09-16 14:48:48
BLZUSDT,BLZ,USDT,BREAK,2025-09-16 14:48:48
IRISUSDT,IRIS,USDT,BREAK,2025-09-16 14:48:48
KMDUSDT,KMD,USDT,BREAK,2025-09-16 14:48:48
BNBDAI,BNB,DAI,BREAK,2025-09-16 14:48:48
BUSDDAI,BUSD,DAI,BREAK,2025-09-16 14:48:48
JSTBNB,JST,BNB,BREAK,2025-09-16 14:48:48
JSTBUSD,JST,BUSD,BREAK,2025-09-16 14:48:48
SRMBNB,SRM,BNB,BREAK,2025-09-16 14:48:48
